year,round,driverId,constructorId,grid,position,points,status,circuitId,date,quali_pos
2018,1,vettel,ferrari,3,1,25.0,Finished,albert_park,2018-03-25,3.0
2018,1,hamilton,mercedes,1,2,18.0,Finished,albert_park,2018-03-25,1.0
2018,1,raikkonen,ferrari,2,3,15.0,Finished,albert_park,2018-03-25,2.0
2018,1,ricciardo,red_bull,8,4,12.0,Finished,albert_park,2018-03-25,5.0
2018,1,alonso,mclaren,10,5,10.0,Finished,albert_park,2018-03-25,11.0
2018,1,max_verstappen,red_bull,4,6,8.0,Finished,albert_park,2018-03-25,4.0
2018,1,hulkenberg,renault,7,7,6.0,Finished,albert_park,2018-03-25,8.0
2018,1,bottas,mercedes,15,8,4.0,Finished,albert_park,2018-03-25,10.0
2018,1,vandoorne,mclaren,11,9,2.0,Finished,albert_park,2018-03-25,12.0
2018,1,sainz,renault,9,10,1.0,Finished,albert_park,2018-03-25,9.0
2018,1,perez,force_india,12,11,0.0,Finished,albert_park,2018-03-25,13.0
2018,1,ocon,force_india,14,12,0.0,Finished,albert_park,2018-03-25,15.0
2018,1,leclerc,sauber,18,13,0.0,Finished,albert_park,2018-03-25,18.0
2018,1,stroll,williams,13,14,0.0,Finished,albert_park,2018-03-25,14.0
2018,1,brendon_hartley,toro_rosso,16,15,0.0,+1 Lap,albert_park,2018-03-25,16.0
2018,1,grosjean,haas,6,16,0.0,Wheel,albert_park,2018-03-25,7.0
2018,1,kevin_magnussen,haas,5,17,0.0,Wheel,albert_park,2018-03-25,6.0
2018,1,gasly,toro_rosso,20,18,0.0,Engine,albert_park,2018-03-25,20.0
2018,1,ericsson,sauber,17,19,0.0,Steering,albert_park,2018-03-25,17.0
2018,1,sirotkin,williams,19,20,0.0,Brakes,albert_park,2018-03-25,19.0
2018,2,vettel,ferrari,1,1,25.0,Finished,bahrain,2018-04-08,1.0
2018,2,bottas,mercedes,3,2,18.0,Finished,bahrain,2018-04-08,3.0
2018,2,hamilton,mercedes,9,3,15.0,Finished,bahrain,2018-04-08,4.0
2018,2,gasly,toro_rosso,5,4,12.0,Finished,bahrain,2018-04-08,6.0
2018,2,kevin_magnussen,haas,6,5,10.0,Finished,bahrain,2018-04-08,7.0
2018,2,hulkenberg,renault,7,6,8.0,Finished,bahrain,2018-04-08,8.0
2018,2,alonso,mclaren,13,7,6.0,+1 Lap,bahrain,2018-04-08,13.0
2018,2,vandoorne,mclaren,14,8,4.0,+1 Lap,bahrain,2018-04-08,14.0
2018,2,ericsson,sauber,17,9,2.0,+1 Lap,bahrain,2018-04-08,17.0
2018,2,ocon,force_india,8,10,1.0,+1 Lap,bahrain,2018-04-08,9.0
2018,2,sainz,renault,10,11,0.0,+1 Lap,bahrain,2018-04-08,10.0
2018,2,leclerc,sauber,19,12,0.0,+1 Lap,bahrain,2018-04-08,19.0
2018,2,grosjean,haas,16,13,0.0,+1 Lap,bahrain,2018-04-08,16.0
2018,2,stroll,williams,20,14,0.0,+1 Lap,bahrain,2018-04-08,20.0
2018,2,sirotkin,williams,18,15,0.0,+1 Lap,bahrain,2018-04-08,18.0
2018,2,perez,force_india,12,16,0.0,+1 Lap,bahrain,2018-04-08,12.0
2018,2,brendon_hartley,toro_rosso,11,17,0.0,+1 Lap,bahrain,2018-04-08,11.0
2018,2,raikkonen,ferrari,2,18,0.0,Wheel,bahrain,2018-04-08,2.0
2018,2,max_verstappen,red_bull,15,19,0.0,Puncture,bahrain,2018-04-08,15.0
2018,2,ricciardo,red_bull,4,20,0.0,Electrical,bahrain,2018-04-08,5.0
2018,3,ricciardo,red_bull,6,1,25.0,Finished,shanghai,2018-04-15,6.0
2018,3,bottas,mercedes,3,2,18.0,Finished,shanghai,2018-04-15,3.0
2018,3,raikkonen,ferrari,2,3,15.0,Finished,shanghai,2018-04-15,2.0
2018,3,hamilton,mercedes,4,4,12.0,Finished,shanghai,2018-04-15,4.0
2018,3,max_verstappen,red_bull,5,5,10.0,Finished,shanghai,2018-04-15,5.0
2018,3,hulkenberg,renault,7,6,8.0,Finished,shanghai,2018-04-15,7.0
2018,3,alonso,mclaren,13,7,6.0,Finished,shanghai,2018-04-15,13.0
2018,3,vettel,ferrari,1,8,4.0,Finished,shanghai,2018-04-15,1.0
2018,3,sainz,renault,9,9,2.0,Finished,shanghai,2018-04-15,9.0
2018,3,kevin_magnussen,haas,11,10,1.0,Finished,shanghai,2018-04-15,11.0
2018,3,ocon,force_india,12,11,0.0,Finished,shanghai,2018-04-15,12.0
2018,3,perez,force_india,8,12,0.0,Finished,shanghai,2018-04-15,8.0
2018,3,vandoorne,mclaren,14,13,0.0,Finished,shanghai,2018-04-15,14.0
2018,3,stroll,williams,18,14,0.0,Finished,shanghai,2018-04-15,18.0
2018,3,sirotkin,williams,16,15,0.0,Finished,shanghai,2018-04-15,16.0
2018,3,ericsson,sauber,20,16,0.0,Finished,shanghai,2018-04-15,20.0
2018,3,grosjean,haas,10,17,0.0,Finished,shanghai,2018-04-15,10.0
2018,3,gasly,toro_rosso,17,18,0.0,Finished,shanghai,2018-04-15,17.0
